,基金代码,基金名称,开始日期,类型
6454,002392,华安全球美元债A(美元现汇),2016-03-23,债券基金
6455,002393,华安全球美元债C(人民币),2016-03-23,债券基金
6456,002396,鹏华丰尚债券B,2016-03-22,债券基金
6457,002399,华安安禧混合C,2016-04-13,混合式基金
6458,002401,亚洲美元债C(人民币),2016-03-03,债券基金
6459,002402,亚洲美元债A(美元现汇),2016-03-03,债券基金
6460,002403,亚洲美元债C(美元现汇),2016-03-03,债券基金
6461,002404,博时裕乾纯债C,2016-02-01,债券基金
6462,002406,光大中高等级债C,2017-08-04,债券基金
6463,002410,华夏新活力混合C,2016-02-23,混合式基金
6464,002414,中银瑞利混合C,2016-02-04,混合式基金
6465,002416,招商丰利C,2016-02-29,混合式基金
6466,002417,招商丰盛稳定C,2016-02-29,混合式基金
6467,002418,汇添富优选回报混合C,2016-02-03,混合式基金
6468,002422,新华增强债C,2016-04-13,债券基金
6469,002423,华宝美国消费美元,2016-03-18,股票基金
6470,002425,金鹰元禧混合C,2016-03-07,混合式基金
6471,002427,华安票息A(美汇),2016-06-03,债券基金
6472,002429,华安票息C,2016-06-03,债券基金
6473,002431,中银丰利混合C,2016-08-11,混合式基金
6474,002435,中银宏利混合C,2016-08-01,混合式基金
6475,002436,上投红利C,2016-02-15,混合式基金
6476,002437,上投天颐C,2016-02-15,混合式基金
6477,002441,德邦新添利C,2016-02-17,债券基金
6478,002451,平安睿享文娱混合C,2016-03-29,混合式基金
6479,002454,九泰久稳混合C,2016-04-22,混合式基金
6480,002457,招商安元灵活配置混合C,2016-03-01,混合式基金
6481,002460,华夏鼎利债券C,2016-11-18,债券基金
6482,002462,中银珍利混合C,2016-03-10,混合式基金
6483,002468,国投瑞银全球债券(QDII)美元现汇,2016-04-19,联接基金
6484,002469,华泰货币B,2016-02-26,货币基金
6485,002471,泰达多元回报债券C,2016-04-13,债券基金
6486,002477,博时安瑞C,2016-03-30,债券基金
6487,002479,中欧天添债券C,2016-04-01,债券基金
6488,002485,国联安通盈C,2016-03-02,混合式基金
6489,002488,汇添富稳添利C,2016-03-16,债券基金
6490,002492,工银月月薪C,2016-02-26,债券基金
6491,002496,前海开源量化优选C,2017-07-03,混合式基金
6492,002500,德邦纯债9个月定开债C,2016-03-28,债券基金
6493,002503,中银腾利混合C,2016-06-21,混合式基金
6494,002505,鹏华金鼎混合C,2016-04-13,混合式基金
6495,002507,兴业定期开放C,2016-03-23,债券基金
6496,002509,华宝宝鑫债券C,2016-04-26,债券基金
6497,002513,金鹰元安C,2016-03-10,混合式基金
6498,002515,招商丰益混合C,2016-08-24,混合式基金
6499,002517,招商丰达混合C,2016-08-25,混合式基金
6500,002520,招商招瑞纯债C,2016-03-16,债券基金
6501,002522,永赢双利债券C,2016-05-25,债券基金
6502,002529,泰康安益纯债债券C,2016-08-30,债券基金
6503,002531,博时保泽保本C,2016-04-07,混合式基金
6504,002533,中加心享混合C,2016-03-29,混合式基金
6505,002536,中银鑫利混合C,2016-03-24,混合式基金
6506,002539,招商丰嘉混合C,2016-08-11,混合式基金
6507,002541,招商丰和混合C,2016-08-11,混合式基金
6508,002544,长城久益混合C,2016-04-28,混合式基金
6509,002546,泰康薪意保E,2016-04-29,货币基金
6510,002553,博时创业C,2016-03-22,混合式基金
6511,002555,博时沪港深C,2016-03-22,混合式基金
6512,002556,博时丝路C,2016-03-22,股票基金
6513,002557,博时灵配C,2016-03-22,混合式基金
6514,002559,博时鑫瑞混合C,2016-10-13,混合式基金
6515,002566,创金鑫安C,2016-05-11,混合式基金
6516,002572,长盛同泰C,2016-05-17,债券基金
6517,002576,招商丰睿混合C,2016-08-25,混合式基金
6518,002580,泰信鑫选C,2016-05-05,混合式基金
6519,002582,招商丰凯混合C,2016-08-24,混合式基金
6520,002583,泰信行业C,2016-05-05,混合式基金
6521,002587,金鹰添利信用债债券C,2017-02-22,债券基金
6522,002590,山西证券保本C,2016-05-04,混合式基金
6523,002591,中欧信用E,2016-04-06,债券基金
6524,002592,中欧纯债E,2016-04-06,债券基金
6525,002599,平安智能生活混合C,2016-06-08,混合式基金
6526,002609,博时泰和债券C,2016-04-20,债券基金
6527,002611,博时黄金ETF联接C,2016-05-27,联接基金
6528,002615,中银颐利混合C,2016-08-09,混合式基金
6529,002617,中银益利C,2016-04-25,混合式基金
6530,002619,中银裕利混合C,2016-04-26,混合式基金
6531,002627,招商丰源混合C,2016-08-25,混合式基金
6532,002629,招商安博混合C,2016-05-25,混合式基金
6533,002631,江信瑞福C,2017-02-17,混合式基金
6534,002633,鑫元双债增强债C,2016-04-21,债券基金
6535,002637,广发集裕债券C,2016-05-11,债券基金
6536,002642,博时安润C,2016-05-20,债券基金
6537,002645,大成景荣债券C,2016-05-25,债券基金
6538,002647,中科沃土货币B,2016-06-06,货币基金
6539,002652,东方红汇利C,2016-06-13,债券基金
6540,002658,招商安裕C,2016-06-20,混合式基金
6541,002663,前海开源沪港深大消费主题混合C,2016-09-29,混合式基金
6542,002665,万家瑞和灵活配置混合C,2016-04-26,混合式基金
6543,002667,前海沪港深创新C,2016-06-24,混合式基金
6544,002671,万家沪深300指数增强C,2016-09-26,股票基金
6545,002673,诺德货币B,2016-05-05,货币基金
6546,002675,中融融丰纯债C,2016-06-28,债券基金
6547,002678,国投瑞银和安债券C,2016-04-22,债券基金
6548,002680,工银安盈货币B,2016-04-26,货币基金
6549,002682,金鹰元和混合C,2016-05-25,混合式基金
6550,002686,中欧丰泓沪港深灵活配置混合C,2016-11-08,混合式基金
6551,002689,红塔红土长益C,2016-10-26,债券基金
6552,002691,前海开源恒泽C,2016-07-15,混合式基金
6553,002696,鹏华兴泽定开C,2016-06-01,混合式基金
6554,002697,中欧消费主题股票C,2016-07-22,股票基金
6555,002700,华夏新起航混合C,2016-09-02,混合式基金
6556,002702,东方红汇阳债券C,2016-05-26,债券基金
6557,002705,德邦纯债一年定开债C,2016-06-03,债券基金
6558,002710,红塔人人宝B,2016-06-02,货币基金
6559,002712,广发集丰债券C,2016-11-01,债券基金
6560,002718,红塔红土盛隆C,2016-06-03,混合式基金
6561,002721,国寿安保尊利增强C,2016-05-26,债券基金
6562,002722,工银财富B,2016-04-26,货币基金
6563,002724,江信祺福C,2016-07-27,债券基金
6564,002727,华富诚鑫灵活配置混合C,2016-05-05,混合式基金
6565,002729,华富益鑫灵活配置混合C,2016-09-07,混合式基金
6566,002731,华富华鑫灵活配置混合C,2016-11-11,混合式基金
6567,002735,泓德裕荣C,2016-08-15,债券基金
6568,002737,泓德裕和纯债债券C,2016-11-11,债券基金
6569,002739,泓德裕康债券C,2016-07-15,债券基金
6570,002741,泓德裕泽一年定开债券C,2017-05-24,债券基金
6571,002743,泓德裕祥债券C,2017-01-13,债券基金
6572,002747,中欧货币C,2016-05-04,货币基金
6573,002748,中欧货币D,2016-05-04,货币基金
6574,002752,博时安恒18个月定开C,2016-09-22,债券基金
6575,002753,建信嘉薪宝B,2016-05-09,货币基金
6576,002757,招商招兴纯债C,2016-05-18,债券基金
6577,002760,东兴安盈宝B,2016-06-03,货币基金
6578,002762,博时安源18个月C,2016-06-16,债券基金
6579,002764,大成景华C,2016-06-15,债券基金
6580,002766,新华双利债C,2016-07-13,债券基金
6581,002769,兴业聚盛灵活配置混合C,2016-05-16,混合式基金
6582,002771,安信新回报C,2016-05-09,混合式基金
6583,002774,光大铭鑫混合C,2016-10-17,混合式基金
6584,002777,招商安荣灵活配置混合C,2016-07-15,混合式基金
6585,002779,前海联合新思路混合C,2016-11-11,混合式基金
6586,002784,东方红价值精选混合C,2016-09-23,混合式基金
6587,002786,中融融裕双利C,2016-07-21,债券基金
6588,002790,长盛同享C,2016-06-28,混合式基金
6589,002793,景顺顺益回报C,2016-12-07,混合式基金
6590,002794,天弘债E,2016-05-10,债券基金
6591,002797,景顺长城景盈双利C,2016-07-19,债券基金
6592,002806,浙商汇金聚利C,2016-08-01,债券基金
6593,002812,博时裕通纯债C,2016-07-15,债券基金
6594,002814,博时颐泰混合C,2016-06-24,混合式基金
6595,002816,招商招益两年债券C,2016-12-15,债券基金
6596,002818,招商招恒纯债C,2016-06-08,债券基金
6597,002820,招商丰美混合C,2016-11-10,混合式基金
6598,002822,招商丰乐混合C,2016-08-25,混合式基金
6599,002824,招商盛达混合C,2016-08-30,混合式基金
6600,002827,融通稳利债券C,2016-11-18,债券基金
6601,002828,南方现金E,2016-05-30,货币基金
6602,002829,南方现金F,2016-09-21,货币基金
6603,002834,华夏新锦绣混合C,2016-08-24,混合式基金
6604,002836,华夏新锦泰混合C,2016-08-24,混合式基金
6605,002839,华夏新锦程混合C,2016-08-09,混合式基金
6606,002841,九泰久鑫C,2016-12-19,债券基金
6607,002843,景顺景盈C,2016-09-20,债券基金
6608,002845,上投安鑫C,2016-08-05,混合式基金
6609,002847,天弘现金E,2016-07-14,货币基金
6610,002854,华富元鑫灵活配置混合C,2016-08-26,混合式基金
6611,002855,博时现金宝C,2016-05-31,货币基金
6612,002857,博时保丰保本C,2016-06-06,混合式基金
6613,002859,长信富平纯债C,2016-08-15,债券基金
6614,002865,广发安泽短债C,2016-06-17,债券基金
6615,002872,华夏智胜价值成长股票C,2016-08-09,股票基金
6616,002874,华夏新锦福混合C,2016-08-09,混合式基金
6617,002876,华夏新锦安混合C,2016-08-09,混合式基金
6618,002878,华夏大中华信用债券(QDII)A美元现汇,2016-07-27,债券基金
6619,002879,华夏大中华信用债券(QDII)A美元现钞,2016-07-27,债券基金
6620,002880,华夏大中华信用债券(QDII)C,2016-07-27,债券基金
6621,002882,丰润纯债债券C类,2016-06-17,债券基金
6622,002884,华润元大现金通货币B,2016-07-27,货币基金
6623,002888,民生加银鑫瑞债C,2016-06-17,债券基金
6624,002890,交银天利宝货币E,2016-10-19,货币基金
6625,002892,华夏移动互联混合(QDII)美元现汇,2016-12-14,混合式基金
6626,002893,华夏移动互联混合(QDII)美元现钞,2016-12-14,混合式基金
6627,002895,华夏天利货币B,2016-10-13,货币基金
6628,002897,东方臻馨债券C,2016-06-17,债券基金
6629,002899,富国两年期理财债券C,2016-12-01,债券基金
6630,002902,财通资管积极收益债券C,2016-07-19,债券基金
6631,002903,广发500LC,2016-06-15,联接基金
6632,002905,博时安仁一年债C,2016-06-24,债券基金
6633,002907,南方中证500增强C,2016-11-23,股票基金
6634,002917,嘉实活钱包E,2016-06-30,货币基金
6635,002918,交银现金宝E,2016-08-15,货币基金
6636,002923,兴业聚惠C,2016-07-01,混合式基金
6637,002926,广发集源债券C,2017-01-20,债券基金
6638,002928,长盛盛和纯债C,2016-07-05,债券基金
6639,002933,圆信永丰强化收益C,2016-07-27,债券基金
6640,002935,泰康恒泰回报混合C,2016-07-13,混合式基金
6641,002937,华夏沃利货币B,2017-01-13,货币基金
6642,002942,广发安瑞回报混合C,2016-07-26,混合式基金
6643,002947,大成景盛一年定开债C,2016-11-08,债券基金
6644,002949,华安聚利18个月定开债C,2016-08-09,债券基金
6645,002951,华安丰利18个月定开债C,2018-02-09,债券基金
6646,002958,财通宝B,2016-07-27,货币基金
6647,002962,中欧双利债券C,2016-11-23,债券基金
6648,002963,易方达黄金ETF联接C,2016-07-01,联接基金
6649,002966,中海合嘉增强收益债券C,2016-08-24,债券基金
6650,002972,前海开源鼎安债券C,2016-07-19,债券基金
6651,002973,广发能源联接C,2016-07-06,联接基金
6652,002974,广发信息联接C,2016-07-06,联接基金
6653,002975,广发原材料联接C,2016-07-06,联接基金
6654,002976,广发主要消费联接C,2016-07-06,联接基金
6655,002977,广发消费联接C,2016-07-06,联接基金
6656,002978,广发医药联接C,2016-07-06,联接基金
6657,002979,广发金融地产联接C,2016-07-06,联接基金
6658,002982,广发养老指数C,2016-07-06,股票基金
6659,002984,广发中证环保ETF联接C,2016-07-06,联接基金
6660,002987,广发300联接C,2016-07-06,联接基金
6661,002993,招商招元纯债C,2016-08-31,债券基金
6662,002995,招商招裕纯债C,2016-07-28,债券基金
6663,002999,博时弘裕18定开债C,2016-08-30,债券基金
6664,003001,招商丰德混合C,2017-03-01,混合式基金
6665,003006,华夏鼎益债券I,2016-12-27,债券基金
6666,003010,中融盈泽债券C,2017-03-27,债券基金
6667,003012,中融盈润债券C,2017-03-29,债券基金
6668,003014,中融恒泰纯债C,2016-12-27,债券基金
6669,003027,安信新价值混合C,2016-08-19,混合式基金
6670,003029,安信新优选混合C,2016-07-28,混合式基金
6671,003031,安信新目标混合C,2016-08-09,混合式基金
6672,003036,广发安祥回报混合C,2016-08-19,混合式基金
6673,003038,广发集瑞债券C,2016-11-18,债券基金
6674,003040,广发集富纯债C,2017-01-13,债券基金
6675,003043,交银活期通货币E,2016-07-27,货币基金
6676,003045,东方红战略精选混合C,2016-08-30,混合式基金
6677,003047,招商信用定开债(QDII)美元,2016-09-02,债券基金
6678,003049,民生鑫盈C,2016-07-26,债券基金
6679,003054,嘉实文体娱乐股票C,2016-09-07,股票基金
6680,003058,建信瑞盛添利混合C,2016-09-13,混合式基金
6681,003061,中融睿丰定期开放债券C,2017-06-22,债券基金
6682,003063,银华通利灵活配置混合C,2016-08-05,混合式基金
6683,003066,光大尊富18个月C,2017-09-27,债券基金
6684,003072,中融睿祥定期开放债券C,2017-08-24,债券基金
6685,003074,泰达宏利汇利债券C,2016-08-30,债券基金
6686,003075,中融货币E,2016-08-18,货币基金
6687,003080,中融银行间3-5年中高等级信用债指数C,2016-12-22,债券基金
6688,003082,中融银行间1-3年中高等级信用债指数C,2016-12-27,债券基金
6689,003084,中融银行间1-3年高等级信用债指数C,2016-12-22,债券基金
6690,003086,中融银行间0-1年中高等级信用债指数C,2016-12-27,债券基金
6691,003088,上投岁岁丰C,2016-08-26,债券基金
6692,003090,中融恒瑞纯债C,2017-04-07,债券基金
6693,003093,华商丰利增强定开C,2016-09-20,债券基金
6694,003096,中欧医疗健康混合C,2016-09-29,混合式基金
6695,003098,德邦德焕9个月定开债C,2016-09-13,债券基金
6696,003100,长盛盛景C,2016-08-04,债券基金
6697,003103,长盛盛裕C,2016-08-04,债券基金
6698,003106,光大永鑫C,2016-08-19,混合式基金
6699,003108,光大安祺C,2017-01-11,债券基金
6700,003110,光大安和C,2017-01-05,债券基金
6701,003116,光大诚鑫C,2016-12-15,混合式基金
6702,003118,光大吉鑫C,2016-08-19,混合式基金
6703,003120,博时鑫源混合C,2016-08-24,混合式基金
6704,003124,天治鑫利纯债债券C,2016-12-07,债券基金
6705,003127,长信纯债半年C,2016-12-23,债券基金
6706,003129,景顺景盈汇利C,2017-05-23,债券基金
6707,003130,中信保诚稳利债券C,2016-08-04,债券基金
6708,003134,易方达裕鑫债C,2016-09-05,债券基金
6709,003141,鹏华弘腾混合C,2016-09-29,混合式基金
6710,003143,鹏华弘达C,2016-08-10,混合式基金
6711,003144,华宝新机遇混合C,2016-08-04,混合式基金
6712,003149,中欧瑾悠灵活配置混合C,2016-08-22,混合式基金
6713,003151,中欧睿诚定期开放混合C,2016-12-01,混合式基金
6714,003153,华富天鑫灵活配置混合C,2016-12-29,混合式基金
6715,003157,招商招悦纯债C,2016-08-24,债券基金
6716,003160,万家恒瑞C,2016-08-15,债券基金
6717,003164,建信现金B,2016-08-04,货币基金
6718,003166,鹏华弘嘉混合C,2016-08-19,混合式基金
6719,003168,前海开源鼎瑞债券C,2016-08-16,债券基金
6720,003170,长盛盛辉C,2016-08-16,混合式基金
6721,003173,民生加银鑫安C,2016-09-09,债券基金
6722,003177,德邦景颐债券C,2016-08-26,债券基金
6723,003181,前海联合添利债券C,2016-11-11,债券基金
6724,003183,华富弘鑫灵活配置混合C,2016-11-28,混合式基金
6725,003184,中证财通可持续发展100指数C,2017-04-14,股票基金
6726,003185,建信货币B,2016-09-19,货币基金
6727,003191,创金合信消费主题股票C,2016-08-22,股票基金
6728,003196,光大永利纯债C,2017-02-17,债券基金
6729,003198,光大安诚债C,2017-03-28,债券基金
6730,003200,长盛盛琪一年期定开C,2016-09-27,债券基金
6731,003204,财通收益增强债券C,2017-04-14,债券基金
6732,003205,财通多策略稳健增长债券C,2017-04-14,债券基金
6733,003212,广发集安债券C,2017-01-20,债券基金
6734,003216,信诚至鑫C,2016-10-12,混合式基金
6735,003219,前海开源祥和债券C,2016-11-28,债券基金
6736,003222,新华丰利C,2016-10-26,债券基金
6737,003225,鹏华兴润定期开放混合C,2016-09-01,混合式基金
6738,003227,信诚稳健C,2016-09-02,债券基金
6739,003229,浦银日日鑫B,2016-11-30,货币基金
6740,003231,创金合信医疗保健股票C,2016-08-30,股票基金
6741,003233,创金合信金融地产股票C,2016-08-30,股票基金
6742,003235,信诚至利C,2016-09-02,混合式基金
6743,003237,信诚惠盈C,2016-09-02,债券基金
6744,003240,博时安祺一年定开C,2016-09-29,债券基金
6745,003242,创金合信量化发现C,2016-09-27,混合式基金
6746,003244,中国世纪美元现钞,2016-11-11,混合式基金
6747,003245,中国世纪美元现汇,2016-11-11,混合式基金
6748,003248,泰达宏利启智混合C,2016-08-30,混合式基金
6749,003251,融通通尚灵活配置混合C,2016-10-19,混合式基金
6750,003253,大成添益交易型货币B,2016-09-29,货币基金
6751,003255,前海开源鼎裕债券C,2016-09-23,债券基金
6752,003257,信诚至益C,2016-09-07,混合式基金
6753,003262,安信沪深300增强C,2016-10-12,股票基金
6754,003264,新华活期添利B,2016-08-29,货币基金
6755,003266,招商招坤纯债C,2016-10-18,债券基金
6756,003267,新华壹诺宝B,2016-10-24,货币基金
6757,003270,招商招乾C,2016-10-26,债券基金
6758,003272,国联安鑫瑞C,2016-09-09,混合式基金
6759,003274,安信永丰定开债券C,2016-10-10,债券基金
6760,003276,国联安鑫盈混合C,2016-09-29,混合式基金
6761,003278,信诚稳瑞C,2016-09-09,债券基金
6762,003281,广发活期宝B,2016-09-02,货币基金
6763,003283,信诚至裕C,2016-09-29,混合式基金
6764,003288,信诚稳益C,2016-09-09,债券基金
6765,003299,嘉实物流产业股票C,2016-12-29,股票基金
6766,003302,华夏鼎融债券C,2016-11-07,债券基金
6767,003305,前海开源沪港深核心资源混合C,2016-10-17,混合式基金
6768,003307,民生鑫益C,2017-03-07,债券基金
6769,003310,兴业启元一年定开债券C,2016-10-27,债券基金
6770,003317,中银证券现金管家货币B,2016-12-07,货币基金
6771,003320,建信瑞丰添利混合C,2016-11-01,混合式基金
6772,003321,易原油C类人民币,2016-12-19,联接基金
6773,003322,易原油A类美元汇,2016-12-19,联接基金
6774,003323,易原油C类美元汇,2016-12-19,联接基金
6775,003325,东方永兴18个月定期开放债券C,2016-11-02,债券基金
6776,003328,万家鑫璟纯债C,2016-09-18,债券基金
6777,003330,万家鑫安纯债C,2016-09-18,债券基金
6778,003335,中融融信双盈C,2016-11-02,债券基金
6779,003338,南方颐元C,2016-09-26,债券基金
6780,003340,华安睿享定开混合C,2016-11-02,混合式基金
6781,003344,鹏华弘惠混合C,2016-09-27,混合式基金
6782,003346,安信新成长混合C,2016-09-29,混合式基金
6783,003352,招商稳荣定开灵活混合C,2016-10-25,混合式基金
6784,003354,信诚至优C,2016-09-26,混合式基金
6785,003356,招商稳祥定开灵活混合C,2016-10-11,混合式基金
6786,003357,嘉实稳祥纯债债券C,2016-09-14,债券基金
6787,003359,大成中证360C,2017-01-18,股票基金
6788,003361,前海开源瑞和债券C,2017-03-30,债券基金
6789,003364,长江乐享货币B,2016-10-26,货币基金
6790,003365,长江乐享货币C,2016-10-26,货币基金
6791,003368,鹏华兴合定期开放混合C,2016-09-27,混合式基金
6792,003370,招商招庆纯债C,2016-10-18,债券基金
6793,003372,招商招轩纯债C,2016-10-26,债券基金
6794,003374,大成景禄灵活配置混合C,2016-09-29,混合式基金
6795,003377,广发中债7-10年国开债指数C,2016-09-26,债券基金
6796,003380,信诚至选C,2016-11-08,混合式基金
6797,003383,民生鑫享债券C,2016-10-31,债券基金
6798,003386,工银全球美元债A美元现汇,2017-01-23,债券基金
6799,003387,工银全球美元债C,2017-01-23,债券基金
6800,003389,招商招益宝货币B,2017-02-23,货币基金
6801,003392,建信天添益货币B,2016-10-18,货币基金
6802,003393,建信天添益货币C,2016-10-18,货币基金
6803,003399,太平日日金货币B,2016-11-04,货币基金
6804,003405,招商稳盛定开混合C,2016-11-10,混合式基金
6805,003408,景顺景泰丰利C,2017-01-13,债券基金
6806,003410,景顺景颐盛利C,2016-10-13,债券基金
6807,003412,鹏华弘康混合C,2016-09-29,混合式基金
6808,003415,泰达宏利创金混合C,2016-09-29,混合式基金
6809,003421,德邦群利债券C,2017-03-10,债券基金
6810,003423,国寿安保添利货币B,2016-12-27,货币基金
6811,003426,江信添福C,2016-11-02,债券基金
6812,003431,兴业14天理财B,2016-10-24,货币基金
6813,003433,信诚至瑞C,2016-10-21,混合式基金
6814,003435,博时鑫泽混合C,2016-10-17,混合式基金
6815,003437,博时鑫丰混合C,2016-12-21,混合式基金
6816,003439,招商招怡纯债C,2016-11-08,债券基金
6817,003441,招商招享纯债C,2017-03-17,债券基金
6818,003443,招商招惠3个月定开债C,2016-12-07,债券基金
6819,003447,英大睿鑫C,2016-11-23,混合式基金
6820,003449,招商招华纯债C,2016-12-21,债券基金
6821,003451,招商招信C,2017-03-10,债券基金
6822,003453,招商招盛纯债C,2016-10-26,债券基金
6823,003455,招商招通纯债C,2016-10-20,债券基金
6824,003459,嘉实稳宏债券C,2017-06-02,债券基金
6825,003464,泰达宏利亚洲债券(QDII)C,2016-10-14,债券基金
6826,003468,富荣货币B,2016-12-26,货币基金
6827,003470,德邦德景一年定开债C,2016-11-10,债券基金
6828,003472,前海联合添鑫债券C,2016-10-18,债券基金
6829,003474,南方天天利B,2016-10-20,货币基金
6830,003480,财通资管鑫管家B,2016-10-25,货币基金
6831,003481,光大耀钱包B,2016-12-21,货币基金
6832,003483,交银天鑫宝货币E,2016-12-07,货币基金
6833,003485,金鹰鑫益混合C,2016-11-16,混合式基金
6834,003491,长盛盛平混合C,2016-10-25,混合式基金
6835,003494,富国天惠C,2017-03-23,混合式基金
6836,003496,鹏华弘尚混合C,2016-10-25,混合式基金
6837,003499,前海联合添和纯债C,2016-12-07,债券基金
6838,003503,金鹰鑫瑞混合C,2016-12-06,混合式基金
6839,003505,景顺景颐丰利C,2017-01-18,债券基金
6840,003507,德邦现金宝B,2016-11-28,货币基金
6841,003509,华安睿安定开混合C,2017-03-15,混合式基金
6842,003511,长盛可转债C,2016-12-07,债券基金
6843,003512,申万菱信安鑫优选混合C,2016-11-07,混合式基金
6844,003519,万家鑫瑞E,2017-06-07,债券基金
6845,003521,万家1-3年政策性金融债C,2016-11-25,债券基金
6846,003523,万家鑫通C,2016-11-18,债券基金
6847,003529,汇添富长添利定期开放债券C,2016-12-06,债券基金
6848,003531,东方永熙18个月定期开放债券C,2016-12-27,债券基金
6849,003533,汇添富鑫利定开债C,2017-03-13,债券基金
6850,003535,浦银安盛日日丰B,2016-11-07,货币基金
6851,003536,浦银安盛日日丰D,2016-11-07,货币基金
6852,003538,招商招利宝货币B,2017-04-17,货币基金
6853,003539,安信现金增利B,2016-10-17,货币基金
6854,003542,财通纯债债券C,2017-04-14,债券基金
6855,003548,泰达沪深300C,2017-02-09,股票基金
6856,003550,泰达改革量化C,2017-02-09,混合式基金
6857,003553,国泰现金宝货币B,2017-03-08,货币基金
6858,003554,泰达宏利大数据混合C,2017-02-09,混合式基金
6859,003556,华泰柏瑞睿利混合C,2016-11-23,混合式基金
6860,003558,博时泰安债券C,2016-12-21,债券基金
6861,003560,平安大华量化成长混合C,2016-11-02,混合式基金
6862,003562,诺德成长精选C,2017-02-24,混合式基金
6863,003563,工银国际原油(美元),2016-12-06,联接基金
6864,003565,博时安诚3个月定开C,2016-11-10,债券基金
6865,003570,招商招丰纯债C,2016-12-07,债券基金
6866,003572,招商招琪纯债C,2016-12-07,债券基金
6867,003577,招商招弘纯债C,2017-02-23,债券基金
6868,003578,中金中证500C,2016-11-28,股票基金
6869,003579,中金沪深300C,2016-11-28,股票基金
6870,003584,建信稳定鑫利债券C,2017-01-06,债券基金
6871,003587,先锋精一C,2016-11-18,混合式基金
6872,003589,东吴增鑫宝B,2016-11-07,货币基金
6873,003592,华泰柏瑞享利混合C,2016-12-29,混合式基金
6874,003595,长盛盛崇C,2016-11-10,混合式基金
6875,003597,长盛盛腾C,2017-01-13,混合式基金
6876,003602,申万菱信安鑫精选混合C,2016-11-18,混合式基金
6877,003604,景顺泰安回报混合C,2016-12-09,混合式基金
6878,003606,海富通美元债QDII(美元),2016-11-28,债券基金
6879,003611,南方荣安C,2016-11-23,混合式基金
6880,003613,南方卓元C,2016-11-11,债券基金
6881,003615,信诚景瑞C,2016-12-07,债券基金
6882,003617,招商招熹纯债C,2017-06-16,债券基金
6883,003619,招商招旺纯债C,2016-11-02,债券基金
6884,003623,创金合信优价成长C,2016-11-02,股票基金
6885,003625,创金合信资源主题C,2016-11-02,股票基金
6886,003630,上投全球多元配置(QDII)美元现钞,2016-12-19,联接基金
6887,003631,上投全球多元配置(QDII)美元现汇,2016-12-19,联接基金
6888,003633,招商稳乾定开混合C,2016-12-29,混合式基金
6889,003638,安信永鑫增强债券C,2017-01-13,债券基金
6890,003642,长盛盛丰混合C,2016-11-18,混合式基金
6891,003643,工银国债纯债债券C,2016-12-16,债券基金
6892,003647,创金合信中证1000C,2016-12-22,股票基金
6893,003653,招商招泰6个月定开债C,2016-12-23,债券基金
6894,003657,民生鑫元纯债C,2017-06-21,债券基金
6895,003661,中加纯债两年债券C,2016-11-11,债券基金
6896,003665,新沃通利纯债C,2016-12-27,债券基金
6897,003669,东方红益鑫纯债C,2016-11-28,债券基金
6898,003676,博时安慧18个月定开债C,2016-12-16,债券基金
6899,003679,中融现金增利货币C,2016-11-22,货币基金
6900,003683,博时安弘C,2016-11-15,债券基金
6901,003685,汇安丰融混合C,2016-12-22,混合式基金
6902,003687,国泰丰益灵活配置混合C,2016-12-09,混合式基金
6903,003690,国泰鸿益灵活配置混合C,2016-11-25,混合式基金
6904,003693,大成景尚灵活配置混合C,2016-11-11,混合式基金
6905,003695,国泰景益灵活配置混合C,2016-12-09,混合式基金
6906,003699,华夏新锦祥混合C,2017-01-10,混合式基金
6907,003701,民生加银鑫智纯债C,2017-07-24,债券基金
6908,003707,民生鑫兴纯债C,2017-07-21,债券基金
6909,003709,博时民丰纯债债券C,2016-11-30,债券基金
6910,003712,泰达宏利京元宝货币B,2016-11-23,货币基金
6911,003714,英大睿盛C,2016-11-30,混合式基金
6912,003718,易标普500指数美元汇,2016-12-02,股票基金
6913,003719,易标普医疗保健美元汇,2016-11-28,股票基金
6914,003720,易标普生物科技美元汇,2016-12-13,股票基金
6915,003721,易标普信息科技美元汇,2016-12-13,股票基金
6916,003722,易纳斯达克100美元汇,2017-06-23,股票基金
6917,003723,华润元大双鑫债券C,2017-03-24,债券基金
6918,003727,融通通颐定期开放债券C,2017-03-16,债券基金
6919,003732,长安泓泽纯债债券C,2016-11-16,债券基金
6920,003735,万家瑞盈C,2016-11-11,混合式基金
6921,003744,广发汇平一年定期债券C,2017-01-06,债券基金
6922,003748,万家鑫享纯债C,2017-02-09,债券基金
6923,003750,创金合信鑫收益C,2016-12-19,混合式基金
6924,003753,工银如意货币B,2016-12-23,货币基金
6925,003755,国泰普益灵活配置混合C,2016-12-23,混合式基金
6926,003757,国泰嘉益灵活配置混合C,2017-03-01,混合式基金
6927,003759,国泰稳益定开混合C,2017-07-26,混合式基金
6928,003761,国泰宁益定期开放混合C,2017-08-01,混合式基金
6929,003763,国开开泰混合C,2016-12-27,混合式基金
6930,003766,广发创业板ETF联接C,2017-05-25,联接基金
6931,003768,泰达宏利纯利债券C,2016-11-25,债券基金
6932,003773,国联安鑫盛混合C,2016-11-30,混合式基金
6933,003775,国联安鑫利混合C,2016-12-15,混合式基金
6934,003777,南方宣利C,2016-12-06,债券基金
